job_title,company,location,info,posted,datetime,job_link,comp_link
Data Quality Analyst,MATRIX Resources,"Tampa, FL",Actively Hiring,0,0,https://www.linkedin.com/jobs/view/data-quality-analyst-at-matrix-resources-3707519443?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=U48cKMheAlcf2f0QoNx44w%3D%3D&position=3&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/matrix-resources?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Business Analyst,Information Resource Group,"Jones, NC",0,2 weeks ago,2023-08-21,https://www.linkedin.com/jobs/view/data-business-analyst-at-information-resource-group-3696397865?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=fbP3uqI3%2FQMRxmSYDuRGFQ%3D%3D&position=4&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/information-resource-group?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Wipro,"Minneapolis, MN",Actively Hiring,6 days ago,2023-09-02,https://www.linkedin.com/jobs/view/data-analyst-at-wipro-3707982493?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=IRfGFQvdETsWzjvObhchQg%3D%3D&position=5&pageNum=13&trk=public_jobs_jserp-result_search-card,https://in.linkedin.com/company/wipro?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Verdant Infotech Solutions,"Copper Canyon, TX",Actively Hiring,1 week ago,2023-08-27,https://www.linkedin.com/jobs/view/data-analyst-at-verdant-infotech-solutions-3705821493?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=hkkdQIHX%2BNSghO0wUvCzBA%3D%3D&position=6&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/verdant-infotech?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst - Database Analyst,Genesis10,"Scottsdale, AZ",Actively Hiring,2 days ago,2023-09-05,https://www.linkedin.com/jobs/view/data-analyst-database-analyst-at-genesis10-3705617031?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=OGRAVkk%2BYWn6%2B6Zu9ZIa1Q%3D%3D&position=7&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/genesis10?trk=public_jobs_jserp-result_job-search-card-subtitle
PowerBI Data Analyst,Robert Half,"Valrico, FL",Actively Hiring,2 weeks ago,2023-08-24,https://www.linkedin.com/jobs/view/powerbi-data-analyst-at-robert-half-3695490382?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=T5YT%2FSMsxz5MVWwOeK2nCQ%3D%3D&position=8&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/robert-half-international?trk=public_jobs_jserp-result_job-search-card-subtitle
Senior Data Analyst,Jam City,"Carlsbad, CA",0,2 weeks ago,2023-08-22,https://www.linkedin.com/jobs/view/senior-data-analyst-at-jam-city-3701056393?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=Vz7MSHizNs95uhOSeRLOpA%3D%3D&position=9&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/jam-city?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Insight Global,"Port Charlotte, FL",Actively Hiring,2 days ago,2023-09-05,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3705366124?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=lBP%2Bl3wAU%2BLWotUHGW7whQ%3D%3D&position=10&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/insight-global?trk=public_jobs_jserp-result_job-search-card-subtitle
"Data Analyst (Senior Data Scientist), Immediate Office (Req No. 2023-107); Closes 9/11/2023",Office of the Attorney General for the District of Columbia,"Washington, DC",Be an early applicant,1 week ago,2023-08-28,https://www.linkedin.com/jobs/view/data-analyst-senior-data-scientist-immediate-office-req-no-2023-107-closes-9-11-2023-at-office-of-the-attorney-general-for-the-district-of-columbia-3706256791?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=eC4yqCLX4H494UE3%2FaWKfg%3D%3D&position=11&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/dcoag?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst 120676 - Remote | WFH,Get It Recruit - Information Technology,"Chelsea, ME",Be an early applicant,1 week ago,2023-08-28,https://www.linkedin.com/jobs/view/data-analyst-120676-remote-wfh-at-get-it-recruit-information-technology-3699200931?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=no9i%2BJbd%2Bu%2Fly1vMBQXbTg%3D%3D&position=12&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/get-it-recruit-information-technology?trk=public_jobs_jserp-result_job-search-card-subtitle
